time	well	yfp	od
1488	H3	38	0.040600002
1488	A4	38	0.038800001
1488	B4	40	0.095399998
1488	C4	43	0.095700003
1488	D4	40	0.089000002
1488	E4	39	0.098999999
1488	F4	5351	0.091399997
1488	G4	1451	0.078900002
1488	H4	35	0.0392
1488	A5	37	0.039700001
1488	B5	41	0.069200002
1488	C5	43	0.0704
1488	D5	44	0.067400001
1488	E5	43	0.071199998
1488	F5	4464	0.068599999
1488	G5	1392	0.0713
1488	H5	38	0.038899999
1488	A6	38	0.0394
1488	B6	40	0.082599998
1488	C6	44	0.0845
1488	D6	43	0.080399998
1488	E6	42	0.083300002
1488	F6	4895	0.079300001
1488	G6	1407	0.072700001
1488	H6	38	0.0385
1488	A7	36	0.038600001
1488	B7	40	0.108900003
1488	C7	41	0.112099998
1488	D7	45	0.051100001
1488	E7	43	0.051899999
1488	F7	776	0.050799999
1488	G7	114	0.051399998
1488	H7	38	0.039999999
1488	A8	36	0.0383
1488	B8	42	0.074000001
1488	C8	42	0.076499999
1488	D8	46	0.052900001
1488	E8	46	0.050999999
1488	F8	913	0.0524
1488	G8	117	0.051600002
1488	H8	37	0.039900001
1488	A9	33	0.0392
1488	B9	42	0.081200004
1488	C9	41	0.084799998
1488	D9	45	0.050700001
1488	E9	44	0.048599999
1488	F9	836	0.051199999
1488	G9	115	0.051199999
1488	H9	35	0.039799999
1488	A10	36	0.039700001
1488	B10	36	0.0394
1488	C10	37	0.038899999
1488	D10	35	0.040600002
1488	E10	33	0.0385
1488	F10	32	0.037700001
1488	G10	34	0.037700001
1488	H10	35	0.039299998
1488	A11	35	0.039799999
1488	B11	37	0.0396
1488	C11	35	0.039000001
1488	D11	34	0.0396
1488	E11	33	0.038899999
1488	F11	34	0.038899999
1488	G11	37	0.0381
1488	H11	38	0.0403
1488	A12	37	0.041000001
1488	B12	36	0.0407
1488	C12	33	0.039000001
1488	D12	34	0.0407
1488	E12	34	0.038400002
1488	F12	34	0.0383
1488	G12	37	0.036499999
1488	H12	36	0.040399998
22515	A1	36	0.039299998
22515	B1	36	0.038899999
22515	C1	34	0.037700001
22515	D1	36	0.039000001
22515	E1	35	0.0383
22515	F1	38	0.0385
22515	G1	38	0.0396
22515	H1	37	0.038199998
22515	A2	34	0.0383
22515	B2	36	0.039000001
22515	C2	34	0.037999999
22515	D2	36	0.038899999
22515	E2	36	0.038800001
22515	F2	37	0.0394
22515	G2	34	0.0403
22515	H2	38	0.039500002
22515	A3	34	0.038899999
22515	B3	33	0.0392
22515	C3	36	0.0383
22515	D3	36	0.039999999
22515	E3	35	0.037799999
22515	F3	39	0.038699999
22515	G3	37	0.0396
22515	H3	38	0.0396
22515	A4	34	0.038400002
22515	B4	110	0.319200009
22515	C4	112	0.430599988
22515	D4	88	0.757200003
22515	E4	106	0.760500014
22515	F4	NA	0.763800025
22515	G4	35788	0.757000029
22515	H4	37	0.039000001
22515	A5	34	0.039500002
22515	B5	99	0.313499987
22515	C5	107	0.420700014
22515	D5	82	0.74970001
22515	E5	102	0.747099996
22515	F5	NA	0.762600005
22515	G5	40058	0.750899971
22515	H5	39	0.038600001
22515	A6	35	0.038699999
22515	B6	102	0.311500013
22515	C6	115	0.421799988
22515	D6	78	0.747399986
22515	E6	108	0.743399978
22515	F6	NA	0.75880003
22515	G6	37778	0.756399989
22515	H6	41	0.038699999
22515	A7	35	0.039299998
22515	B7	102	0.253600001
22515	C7	114	0.342700005
22515	D7	106	0.432700008
22515	E7	87	0.259299994
22515	F7	13420	0.270900011
22515	G7	894	0.271899998
22515	H7	39	0.038800001
22515	A8	34	0.0381
22515	B8	91	0.2412
22515	C8	96	0.3292
22515	D8	104	0.430200011
22515	E8	92	0.256399989
22515	F8	13250	0.267699987
22515	G8	876	0.267199993
22515	H8	38	0.040199999
22515	A9	36	0.038899999
22515	B9	85	0.211300001
22515	C9	91	0.291700006
22515	D9	105	0.434100002
22515	E9	90	0.253300011
22515	F9	13302	0.266600013
22515	G9	878	0.265799999
22515	H9	37	0.039700001
22515	A10	37	0.038699999
22515	B10	34	0.038800001
22515	C10	35	0.038899999
22515	D10	33	0.039700001
22515	E10	34	0.0385
22515	F10	37	0.0405
22515	G10	36	0.040100001
22515	H10	36	0.039500002
22515	A11	34	0.038899999
22515	B11	37	0.039700001
22515	C11	33	0.0396
22515	D11	36	0.0425
22515	E11	38	0.038600001
22515	F11	36	0.0394
22515	G11	36	0.038699999
22515	H11	36	0.039799999
22515	A12	35	0.038400002
22515	B12	34	0.0394
22515	C12	35	0.038800001
22515	D12	35	0.039900001
22515	E12	37	0.038699999
22515	F12	37	0.039299998
22515	G12	39	0.0374
22515	H12	36	0.0396
13896	A1	35	0.0394
13896	B1	37	0.039700001
13896	C1	34	0.038600001
13896	D1	37	0.039000001
13896	E1	35	0.038400002
13896	F1	38	0.0394
13896	G1	39	0.0418
13896	H1	40	0.038199998
13896	A2	36	0.038699999
13896	B2	34	0.039900001
13896	C2	33	0.0383
13896	D2	37	0.038800001
13896	E2	35	0.038600001
13896	F2	39	0.039700001
13896	G2	36	0.040399998
13896	H2	39	0.0394
13896	A3	37	0.040100001
13896	B3	36	0.0403
13896	C3	34	0.039299998
13896	D3	37	0.0396
13896	E3	36	0.038800001
13896	F3	38	0.039099999
13896	G3	37	0.0403
13896	H3	37	0.0403
13896	A4	37	0.039099999
13896	B4	103	0.294699997
13896	C4	100	0.378699988
13896	D4	80	0.776600003
13896	E4	100	0.792400002
13896	F4	NA	0.791100025
13896	G4	43633	0.780900002
13896	H4	38	0.038899999
13896	A5	35	0.038800001
13896	B5	88	0.260399997
13896	C5	88	0.333900005
13896	D5	73	0.760599971
13896	E5	100	0.772300005
13896	F5	NA	0.789499998
13896	G5	46774	0.776899993
13896	H5	40	0.039000001
13896	A6	35	0.038899999
13896	B6	94	0.26910001
